Initialised
Listening to port 4567
Connected!!!
42["steer",{"steering_angle":-0.03756,"throttle":0.2}]
CTE: , 0.2056 , Next Steering Value: -0.03272
42["steer",{"steering_angle":-0.03272,"throttle":0.2}]
CTE: , 0.201 , Next Steering Value: -0.031
42["steer",{"steering_angle":-0.031,"throttle":0.2}]
CTE: , 0.1957 , Next Steering Value: -0.02854
42["steer",{"steering_angle":-0.02854,"throttle":0.2}]
CTE: , 0.1898 , Next Steering Value: -0.02616
42["steer",{"steering_angle":-0.02616,"throttle":0.2}]
CTE: , 0.1798 , Next Steering Value: -0.01596
42["steer",{"steering_angle":-0.01596,"throttle":0.2}]
CTE: , 0.1726 , Next Steering Value: -0.02012
42["steer",{"steering_angle":-0.02012,"throttle":0.2}]
CTE: , 0.1636 , Next Steering Value: -0.01472
42["steer",{"steering_angle":-0.01472,"throttle":0.2}]
CTE: , 0.1546 , Next Steering Value: -0.01292
42["steer",{"steering_angle":-0.01292,"throttle":0.2}]
CTE: , 0.1457 , Next Steering Value: -0.01134
42["steer",{"steering_angle":-0.01134,"throttle":0.2}]
CTE: , 0.1373 , Next Steering Value: -0.01066
42["steer",{"steering_angle":-0.01066,"throttle":0.2}]
CTE: , 0.1309 , Next Steering Value: -0.01338
42["steer",{"steering_angle":-0.01338,"throttle":0.2}]
CTE: , 0.1236 , Next Steering Value: -0.01012
42["steer",{"steering_angle":-0.01012,"throttle":0.2}]
CTE: , 0.1166 , Next Steering Value: -0.00932
42["steer",{"steering_angle":-0.00931999999999999,"throttle":0.2}]
CTE: , 0.1115 , Next Steering Value: -0.0121
42["steer",{"steering_angle":-0.0121,"throttle":0.2}]
CTE: , 0.1058 , Next Steering Value: -0.00976
42["steer",{"steering_angle":-0.00976000000000001,"throttle":0.2}]
CTE: , 0.1016 , Next Steering Value: -0.01192
42["steer",{"steering_angle":-0.01192,"throttle":0.2}]
CTE: , 0.097 , Next Steering Value: -0.0102
42["steer",{"steering_angle":-0.0102,"throttle":0.2}]
CTE: , 0.0977 , Next Steering Value: -0.02094
42["steer",{"steering_angle":-0.02094,"throttle":0.2}]
CTE: , 0.1183 , Next Steering Value: -0.06486
42["steer",{"steering_angle":-0.06486,"throttle":0.2}]
CTE: , 0.1442 , Next Steering Value: -0.08064
42["steer",{"steering_angle":-0.08064,"throttle":0.2}]
CTE: , 0.1708 , Next Steering Value: -0.08736
42["steer",{"steering_angle":-0.08736,"throttle":0.2}]
CTE: , 0.1976 , Next Steering Value: -0.09312
42["steer",{"steering_angle":-0.09312,"throttle":0.2}]
CTE: , 0.2138 , Next Steering Value: -0.07516
42["steer",{"steering_angle":-0.07516,"throttle":0.2}]
CTE: , 0.2271 , Next Steering Value: -0.07202
42["steer",{"steering_angle":-0.07202,"throttle":0.2}]
CTE: , 0.2332 , Next Steering Value: -0.05884
42["steer",{"steering_angle":-0.05884,"throttle":0.2}]
CTE: , 0.236 , Next Steering Value: -0.0528
42["steer",{"steering_angle":-0.0528,"throttle":0.2}]
CTE: , 0.2356 , Next Steering Value: -0.04632
42["steer",{"steering_angle":-0.04632,"throttle":0.2}]
CTE: , 0.2329 , Next Steering Value: -0.04118
42["steer",{"steering_angle":-0.04118,"throttle":0.2}]
CTE: , 0.2269 , Next Steering Value: -0.03338
42["steer",{"steering_angle":-0.03338,"throttle":0.2}]
CTE: , 0.2221 , Next Steering Value: -0.03482
42["steer",{"steering_angle":-0.03482,"throttle":0.2}]
CTE: , 0.2128 , Next Steering Value: -0.02396
42["steer",{"steering_angle":-0.02396,"throttle":0.2}]
CTE: , 0.2019 , Next Steering Value: -0.01858
42["steer",{"steering_angle":-0.01858,"throttle":0.2}]
CTE: , 0.1925 , Next Steering Value: -0.0197
42["steer",{"steering_angle":-0.0197,"throttle":0.2}]
